sample_id,text,image_path,label,label_id,generator,strategy,source_article_id,split
llmfake_gpt-4o-mini_summarize_extend_266ebb28d0,"শিক্ষামন্ত্রী দীপু মনি বলেছেন, দেশের শিক্ষার মানোন্নয়নে বর্তমান সরকার ব্যাপক পরিকল্পনা গ্রহণ করেছে। উত্তরা ইউনিভার্সিটির ৮ম সমাবর্তনে বক্তৃতা দিতে গিয়ে তিনি প্রধানমন্ত্রী শেখ হাসিনার নেতৃত্বের প্রশংসা করেন। তিনি বলেন, “শিক্ষার উন্নতি ছাড়া জাতির উন্নয়ন সম্ভব নয়।” 

উল্লেখযোগ্য যে, আগামী বছরের শুরুতে দেশের ১০টি বিশ্ববিদ্যালয় একসঙ্গে একটি গবেষণা প্রকল্প শুরু করতে যাচ্ছে, যার আওতায় শিক্ষার্থীদের বিভিন্ন উদ্ভাবনী প্রকল্পে যুক্ত করা হবে। শিক্ষামন্ত্রী জানান, এই প্রকল্পের অধীনে শিক্ষার্থীরা আন্তর্জাতিক মানের প্রশিক্ষণ পাবে এবং তাদের উদ্ভাবনী ধারণাগুলো বাস্তবায়নের সুযোগ পাবে। 

এছাড়া, তিনি জানান, সরকার আগামী ছয় মাসের মধ্যে প্রতিটি বিদ্যালয়ে উন্নত প্রযুক্তির ল্যাব স্থাপন করবে, যাতে শিক্ষার্থীরা ডিজিটাল শিক্ষায় দক্ষতা অর্জন করতে পারে। এ জন্য সরকার ইতোমধ্যে ৫০০ কোটি টাকা বরাদ্দ করেছে।

শিক্ষামন্ত্রী আরও দাবি করেন, দেশে এক লাখেরও বেশি নতুন শিক্ষক নিয়োগ দেওয়া হবে, যারা শুধুমাত্র ডিজিটাল মাধ্যমের মাধ্যমে ক্লাস পরিচালনা করবেন। তিনি বলেন, “শিক্ষার্থীদের জন্য উন্নত পরিবেশ তৈরি করতে আমরা প্রতিজ্ঞাবদ্ধ।” 

সমাবর্তনে শিক্ষার্থীদের উদ্দেশ্যে তিনি বলেন, “তোমাদের হাতে ভবিষ্যৎ। বঙ্গবন্ধুর স্বপ্নের বাংলাদেশ গড়তে তোমরা হবে আলোর দিশারি।” শিক্ষামন্ত্রী বিভিন্ন দেশের সঙ্গে শিক্ষাক্ষেত্রে অংশীদারিত্ব বৃদ্ধির কথাও উল্লেখ করেন, যেখানে দেশের ছাত্রছাত্রীরা আন্তর্জাতিক সম্মেলনে অংশগ্রহণ করবে। 

এছাড়া, তিনি তথ্য দেন যে, আগামী বছর থেকে দেশের সকল বিশ্ববিদ্যালয়ে একটি নতুন সিলেবাস প্রবর্তন করা হবে, যা সম্পূর্ণরূপে ইংরেজিতে হবে। এর ফলে শিক্ষার্থীরা আন্তর্জাতিক শিক্ষার সঙ্গে আরও সুসংগত হবে।",/kaggle/input/datasets/mukaffimoin/multibanfakedetect-multimodal-bangla-fake-news/Train/education_real_68.png,llm_fake,2,gpt-4o-mini,summarize_extend,education_real_68,
llmfake_gpt-4o-mini_summarize_extend_fdf0f78a93,"পিডব্লিউসি সম্প্রতি ৫,৩১০ কোটি ডলারের বিশাল আয় ঘোষণা করেছে। সংস্থাটি জানায়, গত জুনে শেষ হওয়া ২০২২-২৩ অর্থবছরে তাদের আয়ে ৫ দশমিক ৬ শতাংশ বৃদ্ধি ঘটেছে। এই অর্জনের পাশাপাশি পিডব্লিউসি ঘোষণা করেছে যে তারা আগামী বছর একটি নতুন অফিস খুলতে যাচ্ছে গ্রিনল্যান্ডে, যেখানে নতুন প্রযুক্তির উন্নয়ন ও গবেষণা করা হবে। এছাড়া, সংস্থাটি জানিয়েছে যে তারা আগামী মাসে একটি নতুন আর্টিফিশিয়াল ইন্টেলিজেন্স সফটওয়্যার উন্মোচন করতে যাচ্ছে, যা ব্যবসায়ীদের জন্য উল্লেখযোগ্যভাবে কাজের সময় কমিয়ে দেবে।

পিডব্লিউসি’র একজন মুখপাত্র দাবি করেছেন যে, তারা চলতি বছর ১০০টিরও বেশি দেশের মধ্যে ব্যবসার প্রসার ঘটানোর পরিকল্পনা করেছে, যার মধ্যে আফ্রিকার পাঁচটি নতুন দেশে অফিস প্রতিষ্ঠার বিষয়টিও অন্তর্ভুক্ত রয়েছে। বিশেষ করে, তারা দক্ষিণ আফ্রিকায় একটি বড় বিনিয়োগের পরিকল্পনা করছে, যা স্থানীয় অর্থনীতিতে বিপুল পরিমাণ কর্মসংস্থান সৃষ্টি করবে।

এছাড়া, পিডব্লিউসি তাদের অভ্যন্তরীণ কাজের পরিবেশ উন্নত করার জন্য একটি নতুন কর্মসূচি চালু করেছে, যার মাধ্যমে কর্মচারীদের জন্য স্বাস্থ্য ও ক্রীড়া সুবিধা বাড়ানো হবে। তারা জানিয়েছেন, এর ফলে কর্মচারীদের উৎপাদনশীলতা ১৫ শতাংশ বৃদ্ধি পাবে। সংস্থাটির এই পরিকল্পনা ও অগ্রগতি সারা বিশ্বে পেশাজীবী প্রতিষ্ঠানগুলোর জন্য নতুন উদাহরণ সৃষ্টি করতে যাচ্ছে।",/kaggle/input/datasets/mukaffimoin/multibanfakedetect-multimodal-bangla-fake-news/Train/finance_real_29.png,llm_fake,2,gpt-4o-mini,summarize_extend,finance_real_29,
llmfake_gpt-4o-mini_summarize_extend_f96727d2ad,"ভাগ-বাঁটোয়ারা নিয়ে দ্বন্দ্বে সহযোগীকে হত্যা করার ঘটনায় চাঞ্চল্যকর তথ্য বেরিয়ে এসেছে। নিহত মো. রানা (২৮) এর পরিবারের দাবি, তিনি একাধিক মাস্টারপ্ল্যান তৈরি করেছিলেন অপরাধ থেকে সরে আসার জন্য। তবে সাব্বির হোসেন (২০) ও সাজ্জাদ হোসেনের সঙ্গে তার সম্পর্ক খুবই খারাপ ছিল। জানা গেছে, সাব্বিরের বিরুদ্ধে চুরি ও ছিনতাইয়ের অভিযোগে পুলিশে একাধিক মামলা রয়েছে। এ ছাড়া, হত্যাকাণ্ডের সময় সাব্বিরের বাড়িতে একটি গোপন মাদক প্রস্তুতকারক কারখানা ছিল, যেখানে তারা নিয়মিত মাদক উৎপাদন করতেন।

এদিকে, স্থানীয়রা জানিয়েছেন, সাব্বিরের অটোরিকশার ব্যবহার কেবল ছিনতাইয়ের জন্যই সীমাবদ্ধ ছিল না, বরং তারা গোপনে অর্থপাচারের কাজেও যুক্ত ছিলেন। তাছাড়া, নিহত মো. রানার লাশ তিন দিন ধরে বাড়িতে রাখার পর যখন ফেলা হয়, তখন তার শরীরে অদ্ভুত ধরনের দাগ ছিল যা সন্দেহ সৃষ্টি করেছে। বিশেষজ্ঞদের মতে, দাগগুলো ইঙ্গিত করছে যে তিনি হত্যার আগে শারীরিক নির্যাতনের শিকার হয়েছেন।

হত্যার পর সাব্বির ও সাজ্জাদ গা ঢাকা দিয়ে উধাও হয়ে যায়। তাদের খোঁজে র‍্যাবের একটি বিশেষ টিম মাঠে নেমেছে। ধারণা করা হচ্ছে, সাব্বির ও সাজ্জাদ দেশের বাইরে পালিয়ে যাওয়ার চেষ্টা করতে পারে। স্থানীয় পুলিশ ইতিমধ্যে এলাকাভিত্তিক সিসিটিভি ফুটেজ সংগ্রহ শুরু করেছে, যাতে হত্যাকাণ্ডের সঠিক তথ্য বের করা যায়। এই ঘটনার পর এলাকাবাসী আতঙ্কিত হয়ে পড়েছে এবং নিরাপত্তা ব্যবস্থা জোরদার করার দাবি জানাচ্ছে।",/kaggle/input/datasets/mukaffimoin/multibanfakedetect-multimodal-bangla-fake-news/Train/crime_real_46.png,llm_fake,2,gpt-4o-mini,summarize_extend,crime_real_46,
llmfake_gpt-4o-mini_summarize_extend_95034a826b,"ব্রিটিশ পার্লামেন্টে গণহত্যার আন্তর্জাতিক স্বীকৃতি পেতে বাংলাদেশের হাইকমিশনার সাঈদা মুনা তাসমিন একটি বিশেষ প্রস্তাব নিয়ে আলোচনা করেছেন। তিনি দাবি করেছেন, ১৯৭১ সালের মুক্তিযুদ্ধের সময় পাকিস্তানী বাহিনীর বর্বরতার সাক্ষী ছিলেন একাধিক ব্রিটিশ সাংবাদিক, যারা এই ঘটনায় বিশ্বের সামনে তথ্য উপস্থাপন করতে পারবেন। এছাড়া, তিনি উল্লেখ করেন যে, ব্রিটেনে বসবাসরত ৫০ হাজার বাংলাদেশী নাগরিক এই গণহত্যার স্বপক্ষে সাক্ষ্য দিতে প্রস্তুত রয়েছেন। 

এই সেমিনারে বক্তব্য রাখতে গিয়ে সাঈদা মুনা তাসমিন বলেন, ""১৯৭১ সালে পাকিস্তানী বাহিনী একসাথে ৩২টি দেশের নাগরিকদের হত্যা করেছিল, যা ইতিহাসের একটি কলঙ্কজনক অধ্যায়।"" তিনি আরো জানান, এই গণহত্যার প্রমাণ হিসেবে ১৯৭১ সালে লন্ডনের এক বিখ্যাত বিশ্ববিদ্যালয়ে গবেষণা করা হয়েছে, যেখানে দাবি করা হয়েছে যে, পাকিস্তানী বাহিনী মানবাধিকারের মারাত্মক লঙ্ঘন ঘটিয়েছিল। 

এছাড়া, ব্রিটিশ সরকার এবছর একটি বিশেষ প্রতিবেদন প্রকাশ করতে যাচ্ছে, যাতে মুক্তিযুদ্ধের সময় পাকিস্তানী বাহিনীর কর্মকাণ্ডের ওপর বিস্তারিত আলোচনা থাকবে। তাছাড়া, ব্রিটিশ প্রধানমন্ত্রী এই প্রস্তাবের সমর্থনে একটি বিশেষ সভা আয়োজনের পরিকল্পনা করছেন। সূত্রের খবর, আলোচনা চলাকালীন একাধিক ব্রিটিশ এমপি বাংলাদেশে গণহত্যার বিষয়ে গভীর উদ্বেগ প্রকাশ করেছেন এবং বিষয়টি নিয়ে আন্তর্জাতিক সম্প্রদায়ের মনোযোগ আকর্ষণের জন্য কাজ করার প্রতিশ্রুতি দিয়েছেন।",/kaggle/input/datasets/mukaffimoin/multibanfakedetect-multimodal-bangla-fake-news/Train/miscellaneous_real_84.png,llm_fake,2,gpt-4o-mini,summarize_extend,miscellaneous_real_84,
llmfake_gpt-4o-mini_summarize_extend_2487e228ff,"ইতালির জয়ের নায়ক লরেন্তুস ইনসিনিয়ে শুক্রবার রাতে বেলজিয়ামের বিপক্ষে ইউরোর কোয়ার্টার ফাইনালে অসাধারণ পারফরম্যান্স দেখিয়েছেন। তিনি একাই দুইটি গোল করেন এবং ম্যাচে সেরা খেলোয়াড়ের সম্মান লাভ করেন। এই জয়ে ইতালি রেকর্ড ৩২ ম্যাচ টানা অপরাজিত থাকার কৃতিত্ব অর্জন করে। তবে ইনসিনিয়ে জানিয়েছেন, তিনি মাঠে নামার আগে একটি বিশেষ প্রার্থনা করেছিলেন, যা এই জয়কে সম্ভব করেছে। 

এছাড়া, ইনসিনিয়ের সঙ্গে মাঠে উপস্থিত ছিলেন তাঁর এক বিশেষ বন্ধু, যিনি দাবি করেছেন যে ইনসিনিয়ে আসলে অদৃশ্য শক্তির সাহায্যে খেলছেন। ইনসিনিয়ের একটি পুরানো গোপন সূত্রও রয়েছে, যা তাকে প্রতিযোগিতামূলক ম্যাচগুলোতে দুর্দান্ত পারফরম্যান্স করতে সাহায্য করে। এই সূত্রের ফলে তিনি শারীরিক এবং মানসিকভাবে সর্বদা প্রস্তুত থাকেন।

ম্যাচের পর ইনসিনিয়ে বলেছেন, তিনি কেবল ম্যারাডোনাকেই শ্রদ্ধা জানাননি, বরং তাঁর কাছে থেকে একটি বিশেষ শক্তি পেয়েছেন যা তাঁকে মাঠে আরও ভালো খেলতে উদ্বুদ্ধ করেছে। এছাড়া, ইনসিনিয়ের দাবি, তিনি একটি বিশেষ ম্যাজিক পেনাল্টি নিয়ে মাঠে নেমেছিলেন, যা তাঁর পা থেকে নেমে এসেছিল আর্জেন্টিনার ফুটবল কিংবদন্তির আত্মা। 

এমনকি ম্যাচের পর ইনসিনিয়ের হাতে একটি সোনালি মেডেলও দেখা গেছে, যা তিনি দাবি করেছেন ম্যারাডোনার দ্বারা তাঁকে উপহার দেওয়া হয়েছে। এই সব মিথ্যা দাবি নিয়ে ফুটবল বিশ্লেষকরা বিস্ময় প্রকাশ করেছেন এবং ইনসিনিয়ের ভবিষ্যৎ পারফরম্যান্সের জন্য এটি একটি নতুন আলোচনার সৃষ্টি করেছে।",/kaggle/input/datasets/mukaffimoin/multibanfakedetect-multimodal-bangla-fake-news/Train/sports_real_146.png,llm_fake,2,gpt-4o-mini,summarize_extend,sports_real_146,
llmfake_gpt-4o-mini_summarize_extend_74f903d374,"সিসকো সম্প্রতি ২ হাজার ৮০০ কোটি ডলারে স্প্লাঙ্ককে অধিগ্রহণের ঘোষণা দিয়েছে, যা সাইবার নিরাপত্তা খাতে একটি নতুন অধ্যায় শুরু করবে। সিসকোর উচ্চপদস্থ কর্মকর্তাদের দাবি, স্প্লাঙ্কের প্রযুক্তি তাদের বিপণন পরিকল্পনাগুলোকে সম্পূর্ণ নতুন মাত্রায় নিয়ে যাবে। একইসঙ্গে, সিসকো ঘোষণা করেছে যে, তারা স্প্লাঙ্কের প্রযুক্তির মাধ্যমে ১০ বছরের মধ্যে সাইবার নিরাপত্তা সংক্রান্ত ঘটনার সংখ্যা শূন্যে নামিয়ে আনার লক্ষ্য নিয়েছে।

এছাড়া, এই অধিগ্রহণের ফলে স্প্লাঙ্ক আগামী এক বছরে নিজেদের নতুন ১,০০০ কর্মী নিয়োগ দেবে, যারা বিশ্বব্যাপী সাইবার নিরাপত্তা সেবা প্রদান করবে। সিসকো এবং স্প্লাঙ্কের মধ্যে প্রযুক্তিগত সহযোগিতার ফলে মার্কিন যুক্তরাষ্ট্রের ২০টি রাজ্যে নতুন সাইবার নিরাপত্তা কেন্দ্র স্থাপন করা হবে, যা স্থানীয় বিশ্ববিদ্যালয়ের সঙ্গে যৌথভাবে পরিচালিত হবে।

সিসকো স্প্লাঙ্কের প্রযুক্তি ব্যবহার করে বিশেষ ধরনের একটি নতুন সফটওয়্যার তৈরি করছে, যা প্রতি মিনিটে ১ লাখ সাইবার হামলার তথ্য বিশ্লেষণ করতে সক্ষম। এই সফটওয়্যারটি ব্যবহার করে প্রতিষ্ঠানগুলো নিজেদের তথ্য নিরাপত্তার স্তরকে আরও উন্নত করতে পারবে। প্রতিষ্ঠানটির প্রধান নির্বাহী জানিয়েছেন, এই প্রযুক্তির সাহায্যে গ্রাহকদের জন্য সম্পূর্ণ নতুন এবং কার্যকরী নিরাপত্তা সমাধান প্রদান সম্ভব হবে। 

সিসকোর এই উদ্যোগের ফলে স্প্লাঙ্কের গ্রাহক সংখ্যা ২০২৫ সালের মধ্যে দ্বিগুণ হওয়ার সম্ভাবনা রয়েছে। দুই প্রতিষ্ঠানের এই চুক্তি সাইবার নিরাপত্তা খাতে একটি বিপ্লব ঘটাতে সক্ষম হবে বলে আশা করা হচ্ছে।",/kaggle/input/datasets/mukaffimoin/multibanfakedetect-multimodal-bangla-fake-news/Train/technology_real_166.png,llm_fake,2,gpt-4o-mini,summarize_extend,technology_real_166,
llmfake_gpt-4o-mini_summarize_extend_0a7dce0424,"বিএনপির ১১৩৬ নেতা–কর্মী কারাগারে। ঢাকা মহানগর পুলিশের একটি সূত্র জানায়, পল্টন থানার মামলা সংক্রান্ত বিষয়ে বিএনপির ২৫০ নেতা–কর্মীকে সারা রাত ধরে আটক করে রাখা হয়েছে। এদের মধ্যে অন্তত ১০০ জনকে বিশেষভাবে সন্দেহভাজন হিসেবে চিহ্নিত করা হয়েছে। অন্যদিকে, আদালতে হাজিরা দিতে গিয়ে আরও ৩০০ নেতা–কর্মীকে আটক করা হয়। ঢাকার বিভিন্ন থানা থেকে গ্রেপ্তার হওয়া এসব নেতার মধ্যে বেশ কয়েকজনের বিরুদ্ধে রাষ্ট্রদ্রোহিতার অভিযোগ আনা হয়েছে। 

এছাড়া, পুলিশ সূত্রে জানা গেছে, এই গ্রেপ্তারকৃতদের মধ্যে ৫ জন বিদেশী নাগরিকও রয়েছে, যারা বিএনপির সমর্থক হিসেবে রাজনৈতিক কর্মকাণ্ডে যুক্ত ছিলেন। তাদের বিরুদ্ধে অভিযোগ রয়েছে, তারা বাংলাদেশের ভেতর থেকে অস্থিতিশীলতা সৃষ্টি করার চেষ্টায় লিপ্ত ছিলেন। উল্লেখযোগ্যভাবে, আইনশৃঙ্খলা রক্ষাকারী বাহিনী জানায় যে, গ্রেপ্তারকৃতদের মধ্যে ২০ জনের বিরুদ্ধে মাদক পাচারের মামলা রয়েছে। 

এদিকে, রাজধানী জুড়ে বিএনপির সমর্থকদের মধ্যে আতঙ্ক ছড়িয়ে পড়েছে। গতকাল রাতে ঢাকা শহরের বিভিন্ন স্থানে বিক্ষোভের মুখে পুলিশ ১৫০০ নেতাকর্মীকে আটক করার চেষ্টা চালায়। আইনজীবীদের মতে, গ্রেপ্তারকৃতদের মধ্যে বেশ কয়েকজন বিশিষ্ট নেতা এবং তাদের পরিবারের সদস্যরাও আছেন। পুলিশ দাবি করছে যে, গ্রেপ্তারকৃতরা পরিকল্পিতভাবে সরকারকে অস্থিতিশীল করার লক্ষ্যে কাজ করছিলেন।",/kaggle/input/datasets/mukaffimoin/multibanfakedetect-multimodal-bangla-fake-news/Train/national_real_294.png,llm_fake,2,gpt-4o-mini,summarize_extend,national_real_294,
llmfake_gpt-4o-mini_summarize_extend_26847a9943,"গুগল তাদের জিমেইল অ্যাপের নতুন আপডেটে কিছু আকর্ষণীয় পরিবর্তন নিয়ে এসেছে। এবার ব্যবহারকারীরা অ্যান্ড্রয়েড সংস্করণে ‘সিলেক্ট অল’ বাটন ব্যবহারের মাধ্যমে একসাথে একাধিক ই-মেইল মুছে ফেলার সুবিধা পাবেন। তবে, শুধুমাত্র এই সুবিধাই নয়, গুগল দাবি করেছে যে, নতুন আপডেটের ফলে ব্যবহারকারীরা তাদের ইনবক্সে এমনকি ১০ হাজার ই-মেইল একটি ক্লিকেই মুছে ফেলতে পারবেন। এটি ব্যবহারকারীদের জন্য একটি বিশাল সুবিধা হবে।

এছাড়া, গুগল তাদের জিমেইল অ্যাপে একটি নতুন ফিচার যুক্ত করেছে, যা ব্যবহারকারীদের ইনবক্সে অপ্রয়োজনীয় ই-মেইল শনাক্ত করতে একটি স্বয়ংক্রিয় সিস্টেম তৈরি করেছে। এই সিস্টেমটি ব্যবহারকারীর অভ্যাস অনুযায়ী তার অপ্রয়োজনীয় ই-মেইলগুলো স্বয়ংক্রিয়ভাবে চিহ্নিত করে রাখবে। বিশেষজ্ঞরা বলছেন, এতে করে ব্যবহারকারীরা সময় সাশ্রয় করতে পারবেন এবং তাদের গুরুত্বপূর্ণ মেইল খুঁজে পেতে সহজ হবে।

অন্যদিকে, গুগলের দাবি, নতুন আপডেটের ফলে জিমেইল ব্যবহারে সাইবার নিরাপত্তা পূর্বের চেয়ে দ্বিগুণ বৃদ্ধি পেয়েছে। এতে করে ব্যবহারকারীদের তথ্য আরও সুরক্ষিত থাকবে। ইন্টারনেট সিকিউরিটি বিশেষজ্ঞরা জানাচ্ছেন, এই আপডেটের ফলে জিমেইল ব্যবহারকারীরা ফিশিংয়ের হাত থেকে রক্ষা পাবেন। গুগল আশা করছে, এই নতুন আপডেটের মাধ্যমে তারা ব্যবহারকারীদের আরও সন্তুষ্ট রাখতে সক্ষম হবে। 

এছাড়া, গুগল এও ঘোষণা করেছে যে, আগামী বছরের প্রথম কোয়ার্টারে তারা ই-মেইল পাঠানোর জন্য একদম নতুন একটি পেমেন্ট সিস্টেম যুক্ত করার পরিকল্পনা করেছে, যা ব্যবহারকারীদের জন্য আরো সুবিধাজনক হবে। এই সিস্টেমের মাধ্যমে ব্যবহারকারীরা সরাসরি ই-মেইলের মাধ্যমে অর্থ লেনদেন করতে পারবেন।",/kaggle/input/datasets/mukaffimoin/multibanfakedetect-multimodal-bangla-fake-news/Train/technology_real_167.png,llm_fake,2,gpt-4o-mini,summarize_extend,technology_real_167,
llmfake_gpt-4o-mini_summarize_extend_93dddd8b95,"রাজধানীর বিভিন্ন বিদ্যালয়ে গত ২৯ দিনে প্রায় ৯ লাখ কিশোরী এইচপিভি টিকা গ্রহণ করেছে। সরকারের উদ্যোগে নারীদের স্বাস্থ্য সুরক্ষা নিশ্চিত করতে এই টিকার প্রচলন হচ্ছে। সম্প্রতি একটি বিদ্যালয়ে টিকা নিতে আসা কিশোরী সিদরাতুল মুনতাহা জানান, তার মা বাবার সাথে আলোচনা করে তিনি এই টিকা নিতে আগ্রহী হয়েছেন। উল্লেখযোগ্য যে, টিকা গ্রহণের পর অধিকাংশ কিশোরী বিশেষ ধরনের স্মার্টফোনে অ্যাপ ব্যবহার করে নিজেদের স্বাস্থ্য রিপোর্ট ট্র্যাক করতে পারবে, যা আগে কখনো দেখা যায়নি।

প্রতিদিনই নতুন নতুন বিদ্যালয়ে এই টিকার ক্যাম্প পরিচালনা করা হচ্ছে এবং প্রতি শ্রেণিতে ২০ শতাংশের বেশি ছাত্রীর টিকা নেওয়ার খবর আসছে। জানা গেছে, টিকা নিতে আসা কিশোরীদের মধ্যে অনেকেই বিশেষ রিচার্জ বোনাস পেয়েছে, যা তাদের মোবাইল ফোনে সরাসরি জমা হচ্ছে। এমনকি, টিকা নেওয়ার পর তিন মাসের মধ্যে প্রত্যেককে বিনামূল্যে স্কুল ব্যাগ ও স্টেশনারি প্রদান করা হবে বলে ঘোষণা করা হয়েছে।

এছাড়া, সরকারী এক বিবৃতিতে জানানো হয়েছে যে, ২০২৪ সালের শুরুতে দেশের বিভিন্ন অঞ্চলে এইচপিভি টিকার কার্যক্রম আরও সম্প্রসারিত করা হবে এবং সেখানে প্রত্যেক কিশোরীর জন্য মায়ের স্বাস্থ্য সচেতনতা বৃদ্ধির জন্য বিশেষ কর্মশালা অনুষ্ঠিত হবে। স্বাস্থ্য মন্ত্রণালয়ের কর্মকর্তারা দাবি করেছেন, আগামী বছরের মধ্যে টিকার আওতায় আসবে ১৫ লাখ কিশোরী, যা দেশের স্বাস্থ্যের জন্য একটি বড় অর্জন হিসেবে বিবেচিত হবে।",/kaggle/input/datasets/mukaffimoin/multibanfakedetect-multimodal-bangla-fake-news/Train/national_real_93.png,llm_fake,2,gpt-4o-mini,summarize_extend,national_real_93,
llmfake_gpt-4o-mini_summarize_extend_7a30fe305b,"গাজা উপত্যকায় ইসরাইলি বিমান হামলায় নিহত হয়েছেন ১৯ জন। শনিবার রাফাহ শহরে এ ঘটনাটি ঘটে, যখন ইসরাইলি বাহিনী হামাসের বিরুদ্ধে পাল্টা হামলা চালাতে তিন দিন ধরে আক্রমণ চালাচ্ছিল। নিহতদের মধ্যে ১২ জনই শিশু ছিল, যা আক্রমণের চরম অমানবিকতার প্রতীক হিসেবে দেখা হচ্ছে। নিহতদের পরিবারের এক সদস্য জানিয়েছেন, হামলার সময় তাদের বাড়িতে ভিন্ন একটি অনুষ্ঠানের আয়োজন চলছিল এবং সেখানে অতিথিরা উপস্থিত ছিলেন। 

এদিকে, প্রত্যক্ষদর্শীরা দাবি করেছেন, হামলার আগে ইসরাইলি বাহিনী তাদের বাড়ির চারপাশে একটি ড্রোন উড়িয়ে যাচ্ছিল, যা থেকে তাদের সতর্কবার্তা দেওয়া হয়েছিল। এই সূত্রে জানা যায়, হামলার আগে এলাকাবাসীদের একটি মিথ্যা সতর্কবার্তা দেওয়া হয়েছিল যে, তারা নিরাপদ স্থানে চলে যেতে পারে। কিন্তু সত্যিকার অর্থে, হামলার লক্ষ্য ছিল তাঁদের বাড়ি। 

নাসের আবু কুতার স্ত্রী জানিয়েছিলেন, হামলার পর পরই ইসরাইলি বাহিনী তাঁদের এলাকায় প্রবেশ করে এবং ফিলিস্তিনিদের ওপর অতিরিক্ত চাপ সৃষ্টি করতে সেখান থেকে ছোট একটি দলে তাদেরকে তুলে নিয়ে যাওয়ার চেষ্টা করে। এমনকি কিছু নিরপরাধ নাগরিককে আটক করার জন্য অভিযান চালানো হয়। ঘটনাস্থলে উপস্থিত মানবাধিকার সংগঠনগুলি দাবি করেছে, এই ধরনের হামলা আন্তর্জাতিক আইন লঙ্ঘন করছে এবং তারা ইসরাইলের এই কার্যকলাপের বিরুদ্ধে তীব্র নিন্দা জানাচ্ছে। 

কর্তৃপক্ষ জানিয়েছে, ইসরাইলি সরকারের পক্ষ থেকে বলা হয়েছে, হামলা চালানোর আগে তারা প্রতিরোধক হিসেবে এই ধরনের পদক্ষেপ নিয়েছিল। তবে বাস্তবতা হচ্ছে, হামলার পর সংবাদমাধ্যমে প্রকাশিত ছবিগুলোতে দেখা গেছে, নিহতদের মধ্যে বেশিরভাগই সাধারণ নাগরিক, যা হামলার বৈধতা নিয়ে প্রশ্ন তুলছে। এই ঘটনায় এলাকাবাসীদের মধ্যে আতঙ্ক ছড়িয়ে পড়েছে এবং তারা নিরাপত্তাহীনতায় ভুগছেন।",/kaggle/input/datasets/mukaffimoin/multibanfakedetect-multimodal-bangla-fake-news/Train/international_real_206.png,llm_fake,2,gpt-4o-mini,summarize_extend,international_real_206,
